# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Thu Jul 25 08:34:27 2024,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: *,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,
# COLUMN sy_pnum:        Number of Planets,,,,,,,,,,,
# COLUMN discoverymethod: Discovery Method,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au],,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,
# COLUMN st_lum:         Stellar Luminosity [log(Solar)],,,,,,,,,,,
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)],,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,
#,,,,,,,,,,,
pl_name,sy_pnum,discoverymethod,pl_orbsmax,pl_bmasse,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist
1RXS J160929.1-210524 b,1,Imaging,330,3000,,3993,1.31,0.62,-0.403,4,139.135
1RXS J160929.1-210524 b,1,Imaging,330,2543,,4060,1.35,0.85,,,139.135
24 Boo b,1,Radial Velocity,0.19,289.2253,0.042,4893,10.64,0.99,1.774,2.42,95.9863
24 Boo b,1,Radial Velocity,0.194,280.64248,0.032,4816,12.19,1.05,1.877,2.28,95.9863
24 Sex b,2,Radial Velocity,1.333,632.46,0.09,5098,4.9,1.54,1.164,3.5,72.0691
24 Sex c,2,Radial Velocity,2.08,273.32,0.29,5098,4.9,1.54,1.164,3.5,72.0691
2M0437 b,1,Imaging,118,1271.31363,,3100,0.84,0.17,-1.164,4.5,128.484
2MASS J01033563-5515561 AB b,1,Imaging,84,4131.79,,,,0.19,,,
2MASS J01225093-2439505 b,1,Imaging,,,,3309,0.37,0.35,-1.838,4.86,33.8281
2MASS J01225093-2439505 b,1,Imaging,52,7786.5,,3530,,0.4,-1.72,,33.8281
2MASS J02192210-3925225 b,1,Imaging,156,4417.837,,3064,0.28,0.11,-2.23,4.59,
2MASS J0249-0557 c,1,Imaging,1950,3686.80952,,,,0.05,-2.59,,66.0613
2MASS J03590986+2009361 b,1,Imaging,572,5720.91133,,,,,,,117.435
2MASS J04414489+2301513 b,1,Imaging,15,2383.6,,,,0.02,,,
2MASS J11011926-7732383 b,1,Imaging,266,8899.1954,,,,,,,
2MASS J11550485-7919108 b,1,Imaging,587,6356.56814,,,,,,,100.862
2MASS J12073346-3932539 b,1,Imaging,55,1589.15,,,,0.02,,,64.308
2MASS J12073346-3932539 b,1,Imaging,46,1271,,2825,0.22,0.19,-2.561,5.03,64.308
2MASS J19383260+4603591 b,3,Eclipse Timing Variations,,591.16084,0.33,29564,0.2,0.48,,5.51,396.332
2MASS J19383260+4603591 b,3,Eclipse Timing Variations,0.92,603.877,,,,0.48,,,396.332
2MASS J21252752-8138278 b,1,Imaging,7493,3813.94088,,,,,,,34.1154
2MASS J22362452+4751425 b,1,Imaging,230,3972.875,,4045,,0.6,,,69.5737
30 Ari B b,1,Radial Velocity,0.995,3140.03,0.289,6300,1.13,1.16,,4.5,44.657
30 Ari B b,1,Radial Velocity,1.01,2097.678,0.18,,1.13,1.16,,,44.657
30 Ari B b,1,Radial Velocity,0.99,4392.4106,0.29,6331,1.41,1.93,,4.43,44.657
4 UMa b,1,Radial Velocity,0.877,2511.48007,0.453,4415,18.11,1.23,,1.8,73.4603
4 UMa b,1,Radial Velocity,0.87,2256.5,0.432,4415,18.11,1.23,,1.8,73.4603
42 Dra b,1,Radial Velocity,1.19,1233.13,0.38,4200,22.03,0.98,,1.71,90.6545
47 UMa b,3,Radial Velocity,2.1,778.6835,0.012,5882,,1.06,,,13.7967
47 UMa b,3,Radial Velocity,2.1,804.08,0.032,5872,1.21,1.06,0.198,4.3,13.7967
47 UMa b,3,Radial Velocity,2.11,877.17,0.097,,,,,,13.7967
47 UMa b,3,Radial Velocity,2.11,826.32,0.049,,,,,,13.7967
47 UMa b,3,Radial Velocity,2.059,774.86566,0.016,5829.16,1.14,1.01,,4.33,13.7967
47 UMa c,3,Radial Velocity,3.6,171.621,0.098,5872,1.21,1.06,0.198,4.3,13.7967
47 UMa c,3,Radial Velocity,7.73,425.87,0.005,,,,,,13.7967
47 UMa c,3,Radial Velocity,3.404,157.96072,0.179,5829.16,1.14,1.01,,4.33,13.7967
47 UMa d,3,Radial Velocity,11.6,521.22,0.16,5872,1.21,1.06,0.198,4.3,13.7967
47 UMa d,3,Radial Velocity,13.8,479.92089,0.38,5829.16,1.14,1.01,,4.33,13.7967
51 Eri b,1,Imaging,12,,0.45,7295,1.49,1.65,0.752,4.31,29.7575
51 Eri b,1,Imaging,13.2,635.66,,,,1.75,0.85,,29.7575
51 Eri b,1,Imaging,14,,0.21,7295,1.49,1.65,0.752,4.31,29.7575
51 Peg b,1,Radial Velocity,,149.3801,0,5773,1.29,,,4.32,15.4614
51 Peg b,1,Radial Velocity,0.052,148.738,0,,,,,,15.4614
51 Peg b,1,Radial Velocity,0.05235,147.47238,0.0042,5760.76,1.19,1.07,,4.32,15.4614
51 Peg b,1,Radial Velocity,0.0527,150.009,0.013,5758,1.18,1.03,0.136,4.31,15.4614
51 Peg b,1,Radial Velocity,0.052,146.2018,0,,,1.04,,,15.4614
55 Cnc b,5,Radial Velocity,0.1134,255.4,0,5172,0.94,0.91,,4.43,12.5855
55 Cnc b,5,Radial Velocity,0.115227,263.9785,0.0034,,,0.95,,,12.5855
55 Cnc b,5,Radial Velocity,0.11,266.9772,0.051,5200,,0.85,,4.5,12.5855
55 Cnc b,5,Radial Velocity,0.113,254.25,0,,,,,,12.5855
55 Cnc b,5,Radial Velocity,0.11339,266.966,0.0023,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc b,5,Radial Velocity,0.1162,267.29369,0.0048,5317.89,0.96,0.97,,4.46,12.5855
55 Cnc b,5,Radial Velocity,0.115,289.21,0.03,,,,,,12.5855
55 Cnc b,5,Radial Velocity,0.1134,254.25,0.004,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc b,5,Radial Velocity,0.1138,260.61,0.0159,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc b,5,Radial Velocity,0.115,261.881,0.014,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc b,5,Radial Velocity,0.115,249.17872,0.0197,,,0.95,,,12.5855
55 Cnc b,5,Radial Velocity,0.115,266.9772,0.02,,,0.95,,,12.5855
55 Cnc c,5,Radial Velocity,0.24,68.96911,0.44,,,0.95,,,12.5855
55 Cnc c,5,Radial Velocity,0.23735,56.6985,0.072,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc c,5,Radial Velocity,0.24,53.711,0.086,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc c,5,Radial Velocity,0.238,52.44,0.053,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc c,5,Radial Velocity,0.2432,54.34866,0.048,5317.89,0.96,0.97,,4.46,12.5855
55 Cnc c,5,Radial Velocity,0.2373,51.2,0.03,5172,0.94,0.91,,4.43,12.5855
55 Cnc c,5,Radial Velocity,0.241376,54.4738,0.02,,,0.95,,,12.5855
55 Cnc c,5,Radial Velocity,0.237,52.44,0.07,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc d,5,Radial Velocity,5.54,908.98924,0.139,5317.89,0.96,0.97,,4.46,12.5855
55 Cnc d,5,Radial Velocity,5.446,1226.77,0.0269,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc d,5,Radial Velocity,5.47,1121.89,0.02,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc d,5,Radial Velocity,5.84,1220.42,0.063,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc d,5,Radial Velocity,5.77,1218.827,0.025,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc d,5,Radial Velocity,5.257,1243.35096,0.327,,,0.95,,,12.5855
55 Cnc d,5,Radial Velocity,5.28,918.49,0.24,,,,,,12.5855
55 Cnc d,5,Radial Velocity,5.9,1287.2115,0.16,,,0.95,,,12.5855
55 Cnc d,5,Radial Velocity,5.957,991.6,0.13,5172,0.94,0.91,,4.43,12.5855
55 Cnc d,5,Radial Velocity,5.503,1232.493,0.019,,,0.95,,,12.5855
55 Cnc e,5,Radial Velocity,,8.59,,,0.98,1.01,,,12.5855
55 Cnc e,5,Radial Velocity,0.01544,7.81,0.061,5234,0.94,0.91,,4.45,12.5855
55 Cnc e,5,Radial Velocity,,,,,,,,,12.5855
55 Cnc e,5,Radial Velocity,,,,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,0.0377,7.4687,0.264,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,0.01544,8.08,,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,0.01583,8.37,0,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,0.015691,8.13928,0.04,,,0.95,,,12.5855
55 Cnc e,5,Radial Velocity,,7.74,,5172,0.95,0.87,,4.43,12.5855
55 Cnc e,5,Radial Velocity,0.01544,8.08,,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,,,,5250,0.96,,,4.42,12.5855
55 Cnc e,5,Radial Velocity,0.015439,8.09479,0.028,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc e,5,Radial Velocity,,,,,,,,,12.5855
55 Cnc e,5,Radial Velocity,0.01544,7.99,0.05,5172,0.94,0.91,,4.43,12.5855
55 Cnc e,5,Radial Velocity,0.038,14.30235,0.174,,,0.95,,,12.5855
55 Cnc e,5,Radial Velocity,0.01583,8.63,,,0.94,0.96,,,12.5855
55 Cnc e,5,Radial Velocity,0.01583,9.37594,0.036,5317.89,0.96,0.97,,4.46,12.5855
55 Cnc e,5,Radial Velocity,,,,5234,0.94,0.91,,4.45,12.5855
55 Cnc f,5,Radial Velocity,0.788,44.812,0.305,,,0.95,,,12.5855
55 Cnc f,5,Radial Velocity,0.7708,47.8,0.08,5172,0.94,0.91,,4.43,12.5855
55 Cnc f,5,Radial Velocity,0.792,46.87969,0.142,5317.89,0.96,0.97,,4.46,12.5855
55 Cnc f,5,Radial Velocity,0.7733,47.0051,0.08,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc f,5,Radial Velocity,0.77,54.664,0.32,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc f,5,Radial Velocity,0.775,44.812,0,5250,0.96,0.9,-0.197,4.42,12.5855
55 Cnc f,5,Radial Velocity,0.781,45.766,0.2,5250,0.96,0.9,-0.197,4.42,12.5855
6 Lyn b,1,Radial Velocity,2.2,762.8,0.134,4978,5.2,1.7,1.176,3.16,54.6599
6 Lyn b,1,Radial Velocity,2.18,702.4043,0.125,,5.2,1.82,,,54.6599
6 Lyn b,1,Radial Velocity,2.028,597.83523,0.042,4941,4.94,1.32,1.119,3.16,54.6599
6 Lyn b,1,Radial Velocity,2.11,638.8383,0.073,4938,5.2,1.44,,3.19,54.6599
61 Vir b,3,Radial Velocity,0.04956,5.11704,0.099,5585.57,1.03,0.91,,4.37,8.50332
61 Vir b,3,Radial Velocity,0.050201,5.1,0.12,5577,0.96,0.94,-0.095,4.34,8.50332
61 Vir c,3,Radial Velocity,0.2151,16.1139,0.068,5585.57,1.03,0.91,,4.37,8.50332
61 Vir c,3,Radial Velocity,0.2175,18.2,0.14,5577,0.96,0.94,-0.095,4.34,8.50332
61 Vir d,3,Radial Velocity,0.476,22.9,0.35,5577,0.96,0.94,-0.095,4.34,8.50332
7 CMa b,2,Radial Velocity,1.93,781.8618,0.22,4794.52,4.91,,,,19.8101
7 CMa b,2,Radial Velocity,1.9,826.3,0.14,4792,2.3,1.52,1.053,3.25,19.8101
7 CMa b,2,Radial Velocity,1.758,587.9855,0.06,4826,4.87,1.34,1.063,3.19,19.8101
7 CMa c,2,Radial Velocity,2.153,276.5121,0.08,4826,4.87,1.34,1.063,3.19,19.8101
70 Vir b,1,Radial Velocity,0.456,2084.88,0.397,,,,,,17.9011
70 Vir b,1,Radial Velocity,0.48,2421.8646,0.4,5531,1.84,1.14,,3.97,17.9011
70 Vir b,1,Radial Velocity,0.4765,2297.89938,0.3989,5481.86,1.92,1.06,,3.89,17.9011
70 Vir b,1,Radial Velocity,0.481,2357.02728,0.3988,5495,1.89,1.09,,3.95,17.9011
70 Vir b,1,Radial Velocity,0.484,2380.45,0.4007,5545,,1.11,,4.07,17.9011
70 Vir b,1,Radial Velocity,0.481,2351.942,0.399,5439,1.94,1.09,0.451,3.9,17.9011
75 Cet b,2,Radial Velocity,2.1,953.49,0.117,4846,10.5,2.49,1.73,2.63,82.9613
75 Cet b,2,Radial Velocity,1.912,787.89662,0.093,4809,10.38,1.92,1.714,2.69,82.9613
75 Cet c,2,Radial Velocity,3.929,289.85951,0.023,4809,10.38,1.92,1.714,2.69,82.9613
8 UMi b,1,Radial Velocity,0.49,416.3573,0.06,4847,10.3,1.44,,2.57,162.552
8 UMi b,1,Radial Velocity,0.49,476.745,0.06,4847.4,9.9,1.8,,2.57,162.552
81 Cet b,1,Radial Velocity,2.5,1684.4,0.206,4785,11,2.4,1.778,2.35,101.26
81 Cet b,1,Radial Velocity,2.17,1274.4,,,,1.6,,,101.26
81 Cet b,1,Radial Velocity,2.104,1051.05854,0.037,4734,11.21,1.23,1.76,2.41,101.26
91 Aqr b,1,Radial Velocity,0.7,1017,0.027,4665,11,1.4,,2.52,44.0304
AB Aur b,1,Imaging,93.9,2860.45566,0.4,9770,,2.4,1.771,,162.127
AB Pic b,1,Imaging,260,4290.5,,,,,,,50.0475
AF Lep b,1,Imaging,8.4,1017.0509,0.24,6130,1.25,1.2,,,26.8564
AF Lep b,1,Imaging,7.99,1664.46737,0.47,6100,1.25,1.2,,4.4,26.8564
AF Lep b,1,Imaging,9.3,1366.66215,0.32,6140,,1.13,,,26.8564
AU Mic b,3,Transit,0.0645,20.12,0.186,,,0.5,,,9.7221
AU Mic b,3,Transit,0.0644,,0.12,,0.75,,,,9.7221
AU Mic b,3,Transit,,17.1,,3700,0.75,0.5,-1.046,4.39,9.7221
AU Mic b,3,Transit,0.0645,17,0,3700,0.75,0.5,,,9.7221
AU Mic b,3,Transit,0.066,57.2094,0.1,3700,0.75,0.5,-1.046,,9.7221
AU Mic b,3,Transit,0.0649,,0.00577,3678,0.74,0.51,-1.038,4.4,9.7221
AU Mic b,3,Transit,,,0,,,,,,9.7221
AU Mic b,3,Transit,,10.2,,3665,0.82,0.6,-0.99,4.52,9.7221
AU Mic b,3,Transit,,,,3588,0.7,,,4.6,9.7221
AU Mic b,3,Transit,,11.7,0.04,3700,0.75,0.5,-1.046,4.39,9.7221
AU Mic c,3,Transit,,14.2,,3665,0.82,0.6,-0.99,4.52,9.7221
AU Mic c,3,Transit,0.1108,,0.00338,3678,0.74,0.51,-1.038,4.4,9.7221
AU Mic c,3,Transit,0.1101,9.6,,,,0.5,,,9.7221
AU Mic c,3,Transit,0.1101,13.6,0,3700,0.75,0.5,,,9.7221
AU Mic c,3,Transit,,22.2,0.041,3700,0.75,0.5,-1.046,4.39,9.7221
AU Mic c,3,Transit,0.11,,0.13,,0.75,,,,9.7221
AU Mic d,3,Transit Timing Variations,,1.053,0.00305,3678,0.74,0.51,-1.038,4.4,9.7221
BD+03 2562 b,1,Radial Velocity,1.3,2034.112,0.2,4095,32.35,1.14,2.7,1.89,1070.63
BD+14 4559 b,1,Radial Velocity,0.78,330.5432,0.29,4864,0.86,0.49,,4.26,49.352
BD+14 4559 b,1,Radial Velocity,0.777,467.19,0.29,5008,0.95,0.86,-0.32,4.6,49.352
BD+15 2375 b,1,Radial Velocity,0.576,337.21763,0.001,4649,8.95,1.08,1.57,2.61,768.045
BD+15 2940 b,1,Radial Velocity,0.539,352.78,0.26,4796,14.7,1.1,2.01,2.8,426.42
BD+20 2457 b,2,Radial Velocity,1.45,6807.63,0.15,4137,49,2.8,3.17,1.51,1539.71
BD+20 2457 b,2,Radial Velocity,1.05,17668.1697,0.15,4259,71.02,10.83,,1.77,1539.71
BD+20 2457 c,2,Radial Velocity,2.01,3963.17,0.18,4137,49,2.8,3.17,1.51,1539.71
BD+20 274 b,1,Radial Velocity,1.3,1334.886,0.21,4296,17.3,0.8,1.96,1.99,1322.51
BD+20 594 b,1,Transit,0.241,16.3,0,5766,0.93,0.96,-0.056,4.5,179.461
BD+20 594 b,1,Transit,,,,5703,0.96,0.96,,4.38,179.461
BD+20 594 b,1,Transit,,22.2481,0,5766,1.08,1.67,,4.5,179.461
BD+45 564 b,1,Radial Velocity,0.83,432.24663,0.12,5004,,0.81,,4.22,53.622
BD+48 738 b,1,Radial Velocity,1,289.2253,0.2,4414,11,0.74,1.69,2.24,871.493
BD+48 740 b,1,Radial Velocity,1.7,540.311,0.76,4534,10.33,1.09,1.64,2.48,666.589
BD+49 828 b,1,Radial Velocity,4.2,508.5,0.35,4943,7.6,1.52,1.47,2.85,442.042
BD+55 362 b,1,Radial Velocity,0.78,228.83645,0.27,5012,,0.91,,4.09,52.5697
BD+60 1417 b,1,Imaging,1662,4767.4261,,4993,0.8,1,0.356,4.55,44.9543
BD+63 1405 b,1,Radial Velocity,2.115,3305.41543,0.891,5000,,0.82,,4.2,38.0473
BD+63 1405 b,1,Radial Velocity,2.06,1258.60049,0.88,5000,,0.82,,4.2,38.0473
BD-00 4475 b,1,Radial Velocity,1.48,7961.6016,0.39,5040,,0.81,,4.25,42.6402
BD-06 1339 b,2,Radial Velocity,0.0428,8.5,0,4324,,0.7,-1.022,4.74,20.2695
BD-06 1339 c,2,Radial Velocity,0.435,53,0.31,4324,,0.7,-1.022,4.74,20.2695
BD-08 2823 b,2,Radial Velocity,0.056,14.4,0.15,4746,,0.74,,4.13,41.3342
BD-08 2823 b,2,Radial Velocity,0.06,12.7132,0.15,4816,0.71,0.5,,4.43,41.3342
BD-08 2823 c,2,Radial Velocity,0.68,104,0.19,4746,,0.74,,4.13,41.3342
BD-10 3166 b,1,Radial Velocity,0.045,142.70495,0.022,5382.64,0.97,1,,4.46,84.4069
BD-10 3166 b,1,Radial Velocity,0.046,152.55,0.05,5400,,1.1,,4.4,84.4069
BD-10 3166 b,1,Radial Velocity,0.04,187.5197,0.02,5393,0.91,1.47,,4.69,84.4069
BD-10 3166 b,1,Radial Velocity,0.0452,145.56,0.019,5393,,1.01,,4.68,84.4069
BD-11 4672 b,2,Radial Velocity,2.28,168.44,0.05,4475,0.52,0.57,,4.1,27.1665
BD-11 4672 b,2,Radial Velocity,2.36,206.5895,0.05,4550,0.64,0.65,-0.804,4.64,27.1665
BD-11 4672 c,2,Radial Velocity,0.3,15.37,0.4,4550,0.64,0.65,-0.804,4.64,27.1665
BD-13 2130 b,1,Radial Velocity,1.66,3108.3774,0.21,4545,19.17,2.12,,2.2,925.214
BD-13 2130 b,1,Radial Velocity,2.1,3368.998,0.21,,,2.4,,,925.214
BD-14 3065 b,1,Transit,0.0656,3932,0.066,6935,2.35,1.41,1.06,3.85,589.423
BD-14 3065 b,1,Transit,,,,6736.9,2.61,,,3.76,589.423
BD-17 63 b,1,Radial Velocity,1.34,1620.9,0.54,4714,0.69,0.74,-0.678,4.26,34.4603
BD-17 63 b,1,Radial Velocity,1.34,905.8155,0.54,4665,0.74,0.31,,4.19,34.4603
BD-210397 b,2,Radial Velocity,2.63,214,0.1,4051,0.75,0.68,-0.87,4.67,23.7324
BD-210397 c,2,Radial Velocity,5.9,759,0.1,4051,0.75,0.68,-0.87,4.67,23.7324
BD-210397 c,2,Radial Velocity,5.9,1525.57635,0.43,,,0.69,,,23.7324
CD Cet b,1,Radial Velocity,0.0185,3.95,,3130,0.17,0.16,-2.533,4.93,8.60715
CFBDSIR J145829+101343 b,1,Imaging,2.6,3337.1,,580.5,,0.02,,4.72,
CFHTWIR-Oph 98 b,1,Imaging,200,2479.06157,,2320,0.24,0.01,-2.85,3.85,
CHXR 73 b,1,Imaging,210,3994.486,,,,0.35,,,190.374
CI Tau c,1,Radial Velocity,0.17,1144.18227,0.58,,,,,,157.998
COCONUTS-2 b,1,Imaging,7506,2002.31896,,3406,0.39,0.37,-1.732,4.83,10.8864
CT Cha b,1,Imaging,440,5403,,,,,,,190.72
CoRoT-1 b,1,Transit,,,,5950,1.29,,,4.33,787.909
CoRoT-1 b,1,Transit,,327.35,0,5950,1.11,0.95,,4.25,787.909
CoRoT-1 b,1,Transit,0.02536,327.3649,,5950,1.13,0.95,,4.31,787.909
CoRoT-1 b,1,Transit,0.02752,390.9309,0.036,6298,1.23,1.22,,,787.909
CoRoT-1 b,1,Transit,0.0261,359.1479,0,5950,1.14,1.03,,,787.909
CoRoT-1 b,1,Transit,,,,,,,,,787.909
CoRoT-1 b,1,Transit,0.0259,340.0781,0.071,5950,,,,4.25,787.909
CoRoT-10 b,1,Transit,0.1055,867.6759,0.524,5075,0.79,0.89,,,338.386
CoRoT-10 b,1,Transit,0.106,883.5674,,5075,0.74,0.9,,4.65,338.386
CoRoT-10 b,1,Transit,0.1055,874,0.53,5075,0.79,0.89,,4.65,338.386
CoRoT-11 b,1,Transit,0.0436,740.51,0,6440,1.37,1.27,,4.22,655.037
CoRoT-11 b,1,Transit,0.044,743.7222,,6440,1.37,1.26,,4.26,655.037
CoRoT-11 b,1,Transit,0.04351,791.3967,0,,1.33,1.23,,,655.037
CoRoT-11 b,1,Transit,,,,6440,1.37,1.27,,4.22,655.037
CoRoT-11 b,1,Transit,,,,6343,1.36,1.56,,4.27,655.037
CoRoT-11 b,1,Transit,0.04407,832.7146,0.36,6440,1.37,1.27,,,655.037
CoRoT-12 b,1,Transit,0.0392,277.46559,,,1.05,1,0.07,4.38,1126.37
CoRoT-12 b,1,Transit,,,,5675,1.04,,,4.37,1126.37
CoRoT-12 b,1,Transit,0.04013,290.81445,0.05,5675,1.12,1.08,,,1126.37
CoRoT-12 b,1,Transit,,,,5675,1.12,1.08,,4.38,1126.37
CoRoT-12 b,1,Transit,0.04016,291.438,0.07,5675,1.12,1.08,,4.38,1126.37
CoRoT-12 b,1,Transit,0.0394,281.91521,,5675,1.05,1.02,,4.41,1126.37
CoRoT-13 b,1,Transit,,,,5945,1.01,1.09,,4.46,1148.93
CoRoT-13 b,1,Transit,0.051,415.704,0,5945,1.01,1.09,,4.46,1148.93
CoRoT-13 b,1,Transit,0.051,416.99296,,5945,1.27,1.09,,4.26,1148.93
CoRoT-13 b,1,Transit,,,,5945,1.14,,,4.47,1148.93
CoRoT-13 b,1,Transit,0.05107,423.03173,0.067,5945,1.01,1.09,,,1148.93
CoRoT-14 b,1,Transit,0.02687,2437.7561,,6035,1.19,1.12,,4.34,1744.6
CoRoT-14 b,1,Transit,0.02691,2358.2986,0.036,6040,1.21,1.13,,,1744.6
CoRoT-14 b,1,Transit,0.027,2415.4,0,6035,1.21,1.13,,4.35,1744.6
CoRoT-16 b,1,Transit,0.0618,168.13207,0.37,5650,1.19,1.1,,,732.409
CoRoT-16 b,1,Transit,0.0618,170.032,0.33,5650,1.19,1.1,,4.36,732.409
CoRoT-17 b,1,Transit,0.0461,772.29,0,5740,1.59,1.04,,4.4,1176.12
CoRoT-17 b,1,Transit,0.0481,781.8618,,5740,1.62,1.04,,4.04,1176.12
